
 Lista de Imóveis da Caixa;;Data de geração:;21/03/2025;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8787707542735 ;RJ ;ABARRACAMENTO ;PACIENCIA ;AV. AV BRASIL, N. 48677, Apto 108, BL. 01 ;74.777,24;148.700,00;49.72;Apartamento, 0.00 de área total, 43.53 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787707542735
 8787702457500 ;RJ ;ABARRACAMENTO ;ABARRACAMENTO ;AVENIDA CANAL DO RIO JACARE, N. 206, Apto 301, BL 3 ;100.741,08;170.000,00;40.75;Apartamento, 0.00 de área total, 50.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787702457500
 1555532580855 ;RJ ;ANGRA DOS REIS ;PARQUE BELEM (CUNHAMBEBE) ;RUA ANJOS DO SENHOR, Apto 08, QD VIII LT 266 ;88.857,46;180.000,00;50.64;Apartamento, 0.00 de área total, 40.00 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555532580855
 1444413152424 ;RJ ;ANGRA DOS REIS ;AREAL (CUNHAMBEBE) ;RUA LAVRADOR JOSE ALVES FILHO N SN CASA23 312A, N. SN, 312A ;192.033,47;370.000,00;48.10;Casa, 0.00 de área total, 119.39 de área privativa, 122.52 de área do terreno,  2 qto(s), WC, WC Emp, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444413152424
 1444407650302 ;RJ ;ARARUAMA ;CENTRO (IGUABINHA) ;RUA REALENGO, N. 45, CS 102 ;145.387,19;332.000,00;56.21;Casa, 0.00 de área total, 104.97 de área privativa, 600.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444407650302
 8444420546112 ;RJ ;ARARUAMA ;ARARUAMA ;RUA DO CONTORNO, N. 276, QD 38 LT 14 CS102 ;58.105,66;130.000,00;55.31;Casa, 0.00 de área total, 63.19 de área privativa, 150.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444420546112
 8444411394216 ;RJ ;ARARUAMA ;ITATIQUARA ;RUA WALDOMIRO MAXIMO CARVALHO, N. 106, QD 34, LT 510, CS 04 ;61.194,98;133.000,00;53.99;Casa, 0.00 de área total, 52.01 de área privativa, 457.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444411394216
 8444415562032 ;RJ ;ARARUAMA ;CENTRO SAO VICENTE ;ESTRADA RJ  138, N. 180, UNIDADE 36 ;62.936,37;134.000,00;53.04;Casa, 58.46 de área total, 58.46 de área privativa, 163.23 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444415562032
 8444401565816 ;RJ ;ARARUAMA ;BOA PERNA ;RUA R DOMINGOS MOIELLA, N. 44, CS.203,, N. 44, LT.30, QD.A, LOT. PARQUE SOL NASCENTE ;39.387,98;83.614,54;52.90;Casa, 0.00 de área total, 29.19 de área privativa, 360.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444401565816
 10008759 ;RJ ;ARARUAMA ;ARARUAMA ;RUA DOIS, N. 100, LT A - ITATIQUARA OU VENDA GRANDE ;269.045,98;562.000,00;52.13;Terreno, 0.00 de área total, 0.00 de área privativa, 5349.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10008759
 8444420614240 ;RJ ;ARARUAMA ;PARATY ;RUA JURUA, N. 100, CASA 8 ;83.184,29;168.000,00;50.49;Casa, 0.00 de área total, 58.09 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444420614240
 1444406981739 ;RJ ;ARARUAMA ;ITATIQUARA ;RUA NIPOA, N. 46, CASA 101 LT 05 QD 11 ;87.334,20;172.000,00;49.23;Casa, 0.00 de área total, 60.00 de área privativa, 450.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444406981739
 1444403990290 ;RJ ;ARARUAMA ;CENTRO (IGUABINHA) ;RUA LOPES TROVAO, N. 193, QD 01, LT 27/29 ;270.776,34;530.000,00;48.92;Casa, 220.06 de área total, 220.06 de área privativa, 1067.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444403990290
 1555534288140 ;RJ ;ARARUAMA ;BANANEIRAS IGUABINHA ;RUA VERONICA ANTUNES, N. 57 ;459.323,32;885.000,00;48.10;Casa, 0.00 de área total, 296.79 de área privativa, 450.00 de área do terreno,  5 qto(s), WC, WC Emp, 1 sala(s), 1 lavabo(s), DCE, cozinha, 3 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555534288140
 1444415254194 ;RJ ;ARARUAMA ;NOSSA SENHORA DE NAZARETH ;RUA JOAO RAMALHO, N. 108, LT 06 QD A ;155.702,82;300.000,00;48.10;Casa, 0.00 de área total, 221.39 de área privativa, 540.00 de área do terreno,  3 qto(s), WC, 1 sala(s), DCE, cozinha, Terraco, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444415254194
 8444400450802 ;RJ ;ARARUAMA ;PARACATU MORRO GRAND ;RUA XI, N. 11, CASA ;103.465,80;199.000,00;48.01;Casa, 261.53 de área total, 261.53 de área privativa, 412.38 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444400450802
 1444417060613 ;RJ ;ARARUAMA ;BANANEIRAS ;RUA DOUTOR JOSE MOTA VASCONCELOS, N. 255, CS 04 LT 12 ;123.404,52;234.000,00;47.27;Casa, 0.00 de área total, 97.30 de área privativa, 113.48 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444417060613
 1444405378346 ;RJ ;ARARUAMA ;NOVO HORIZONTE (IGUABINHA) ;RUA R INDAIA, N. 255, N. 255, LOTE Nº 31 DA QUADRA Nº 29 ;103.891,84;197.000,00;47.27;Casa, 102.51 de área total, 102.51 de área privativa, 600.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444405378346
 1444417473128 ;RJ ;ARARUAMA ;HOSPICIO ;RUA SEM DENOMINACAO N SN 110 4B, N. SN, CASA ;121.295,04;230.000,00;47.27;Casa, 0.00 de área total, 81.11 de área privativa, 106.06 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444417473128
 8444412876427 ;RJ ;ARARUAMA ;CENTRO (IGUABINHA) ;RUA MADUREIRA, N. 845, CASA 102 ;79.772,31;149.938,65;46.80;Casa, 0.00 de área total, 68.00 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444412876427
 1444400897841 ;RJ ;ARARUAMA ;CENTRO IGUABINHA ;RUA DO ENGENHO NOVO N 264 5416LOTEAMENTO VILAR ARA, N. 264, LT 16 QD 54 ;192.338,78;360.000,00;46.58;Casa, 0.00 de área total, 237.93 de área privativa, 628.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444400897841
