bairro,preco,quartos,area_m2
Centro,145000.0,1,17
Centro,,1,32
Centro,600000.0,4,250
Centro,490000.0,2,170
Centro,480000.0,2,55
Centro,230000.0,3,99
Centro,160000.0,1,28
Centro,,1,25
Centro,315000.0,1,55
Centro,249000.0,2,110
Centro,300000.0,2,52
Centro,300000.0,2,36
Centro,297000.0,1,38
Centro,130000.0,1,30
Centro,459900.0,2,45
Centro,250000.0,1,45
Centro,320000.0,2,63
Centro,320000.0,2,59
Centro,272000.0,2,45
Centro,250000.0,1,45
Centro,473000.0,2,86
Centro,,2,35
Centro,250000.0,2,53
Centro,300000.0,1,48
Centro,500000.0,4,200
Centro,200000.0,1,48
Centro,210000.0,1,42
Centro,100000.0,1,69
Centro,,1,30
Centro,165000.0,1,24
Centro,480000.0,2,62
Centro,230000.0,2,47
Centro,100000.0,1,34
Centro,84500.0,1,51
Centro,100000.0,1,39
Centro,285000.0,2,52
Centro,458000.0,1,28
Centro,240000.0,2,75
Centro,120000.0,1,30
Centro,340000.0,1,62
Centro,220000.0,2,37
Centro,251600.0,1,68
Centro,280000.0,1,88
Centro,270000.0,2,80
Centro,220000.0,1,47
Centro,310000.0,1,52
Centro,380000.0,2,90
Centro,450000.0,2,65
Centro,100000.0,1,30
Centro,259000.0,2,52
Centro,360000.0,1,42
Centro,350000.0,1,46
Centro,225000.0,1,68
Centro,260000.0,1,27
Centro,180000.0,3,56
Centro,120000.0,1,50
Centro,180000.0,1,36
Centro,465000.0,1,43
Centro,220000.0,2,76
Campo Grande,295000.0,3,225
Campo Grande,285000.0,2,110
Campo Grande,95000.0,1,52
Campo Grande,540000.0,3,149
Campo Grande,260000.0,3,100
Campo Grande,380000.0,3,100
Campo Grande,160000.0,3,53
Campo Grande,300000.0,3,150
Campo Grande,230000.0,2,85
Campo Grande,360000.0,4,90
Campo Grande,430000.0,3,160
Campo Grande,380000.0,3,120
Campo Grande,260000.0,3,190
Campo Grande,165000.0,3,58
Campo Grande,200000.0,3,81
Campo Grande,377360.0,2,100
Campo Grande,280000.0,2,100
Campo Grande,250000.0,2,100
Campo Grande,175000.0,2,44
Campo Grande,649010.0,3,310
Campo Grande,620000.0,3,162
Campo Grande,140000.0,2,126
Campo Grande,270000.0,3,25
Campo Grande,319870.0,3,97
Campo Grande,142000.0,2,43
Campo Grande,350000.0,2,70
Campo Grande,460000.0,3,200
Campo Grande,349710.0,3,169
Campo Grande,1650000.0,4,267
Campo Grande,250000.0,3,170
Campo Grande,240000.0,2,63
Campo Grande,280990.0,2,54
Campo Grande,381000.0,2,100
Campo Grande,199000.0,2,70
Campo Grande,350000.0,3,119
Campo Grande,398000.0,3,150
Campo Grande,250000.0,2,85
Campo Grande,450000.0,3,164
Campo Grande,400000.0,3,71
Campo Grande,580000.0,3,150
Campo Grande,200000.0,2,43
Campo Grande,229480.0,2,120
Campo Grande,320000.0,3,128
Campo Grande,465000.0,4,120
Campo Grande,375000.0,3,123
Campo Grande,400000.0,3,115
Campo Grande,190000.0,2,45
Santa Cruz,155000.0,2,45
Santa Cruz,53000.0,2,45
Santa Cruz,125000.0,2,45
Santa Cruz,135000.0,2,44
Santa Cruz,148455.0,2,43
Santa Cruz,141879.0,2,45
Santa Cruz,129540.0,2,45
Santa Cruz,153648.0,2,41
Santa Cruz,159768.0,2,39
Santa Cruz,154931.0,2,41
Santa Cruz,98000.0,2,46
Santa Cruz,100000.0,2,45
Santa Cruz,100000.0,2,48
Santa Cruz,159000.0,2,41
Santa Cruz,150000.0,2,43
Santa Cruz,200000.0,2,43
Santa Cruz,145456.0,2,40
Santa Cruz,150000.0,2,41
Santa Cruz,149459.0,2,41
Santa Cruz,140000.0,2,46
Santa Cruz,149554.0,2,41
Santa Cruz,151836.0,2,41
Santa Cruz,125000.0,2,47
Santa Cruz,350000.0,3,115
Santa Cruz,153891.0,2,41
Santa Cruz,163458.0,2,46
Santa Cruz,156834.0,2,41
Santa Cruz,149593.0,2,41
Santa Cruz,157031.0,2,40
Santa Cruz,74784.0,2,63
Santa Cruz,156000.0,2,40
Santa Cruz,149910.0,2,41
Santa Cruz,74678.0,2,44
Santa Cruz,149569.0,2,44
Santa Cruz,144240.0,2,112
Santa Cruz,150000.0,2,45
Santa Cruz,130000.0,2,51
Santa Cruz,149415.0,2,41
Santa Cruz,149723.0,2,40
Santa Cruz,154941.0,2,40
Santa Cruz,140000.0,2,41
Santa Cruz,159000.0,2,46
Santa Cruz,156000.0,2,44
Santa Cruz,149554.0,2,40
Santa Cruz,159068.0,2,41
Santa Cruz,150000.0,2,52
Santa Cruz,58533.0,2,40
Santa Cruz,147525.0,2,41
Santa Cruz,130000.0,2,42
Santa Cruz,138000.0,2,45
Santa Cruz,148629.0,2,44
Santa Cruz,125000.0,2,45
